City,AccentCity,ProvinceName,Latitude,Longitude,ProvinceID
aandenk,Aandenk,Eastern Cape,-31.712196,25.63099,5
aarbossiesplaat,Aarbossiesplaat,Eastern Cape,-31.163179,26.199167,5
aasvoelkop,Aasvoëlkop,Eastern Cape,-31.683333,25.533333,5
abelsruhe,Abelsruhe,Eastern Cape,-31.024012,25.642813,5
aberdeen,Aberdeen,Eastern Cape,-32.475881,24.065252,5
aberdour,Aberdour,Eastern Cape,-31.896014,25.982005,5
adcock,Adcock,Eastern Cape,-33.933333,25.566667,5
addo,Addo,Eastern Cape,-33.552638,25.696665,5
adelaide,Adelaide,Eastern Cape,-32.707468,26.295638,5
adendorp,Adendorp,Eastern Cape,-32.299517,24.553614,5
afsondering,Afsondering,Eastern Cape,-30.163888,28.959668,5
afzondering,Afzondering,Eastern Cape,-30.163888,28.959668,5
agnes,Agnes,Eastern Cape,-31.696114,27.033337,5
agnes rest,Agnes Rest,Eastern Cape,-31.687665,27.019174,5
airlie,Airlie,Eastern Cape,-31.616667,25.666667,5
alderley,Alderley,Eastern Cape,-32.1,28.8,5
alexandria,Alexandria,Eastern Cape,-33.653461,26.412676,5
alfalfa,Alfalfa,Eastern Cape,-31.215029,26.284762,5
algoapark,Algoapark,Eastern Cape,-33.900062,25.563052,5
alice,Alice,Eastern Cape,-32.787493,26.834396,5
alicedale,Alicedale,Eastern Cape,-31.470907,25.864314,5
aliwal north,Aliwal North,Eastern Cape,-30.693664,26.711407,5
aliwal-noord,Aliwal-Noord,Eastern Cape,-30.693664,26.711407,5
all saints,All Saints,Eastern Cape,-31.65,28.05,5
all saints mission,All Saints Mission,Eastern Cape,-31.65,28.05,5
all saints nek,All Saints Nek,Eastern Cape,-31.666667,28.033333,5
allemanskraal,Allemanskraal,Eastern Cape,-33.233333,24.3,5
allemansvlei,Allemansvlei,Eastern Cape,-31.497483,25.843939,5
allendale,Allendale,Eastern Cape,-31.703608,26.26288,5
almondale,Almondale,Eastern Cape,-33.036708,27.76003,5
aloma,Aloma,Eastern Cape,-33.640901,25.879326,5
alpha,Alpha,Eastern Cape,-30.900104,26.359237,5
altyre,Altyre,Eastern Cape,-31.016404,25.885569,5
alva,Alva,Eastern Cape,-31.432649,26.511983,5
amajola,Amajola,Eastern Cape,-31.483333,29.316667,5
amalinda,Amalinda,Eastern Cape,-30.829312,26.996305,5
amana,Amana,Eastern Cape,-30.618277,26.238726,5
amangamzine,Amangamzine,Eastern Cape,-30.979681,29.069345,5
amanzi,Amanzi,Eastern Cape,-33.721171,25.509149,5
amsterdam,Amsterdam,Eastern Cape,-31.628093,25.621132,5
amsterdamhoek,Amsterdamhoek,Eastern Cape,-33.852335,25.610881,5
andrieskraal,Andrieskraal,Eastern Cape,-33.767742,24.690364,5
ann shaw,Ann Shaw,Eastern Cape,-32.826757,26.991089,5
annawater,Annawater,Eastern Cape,-31.584369,26.812067,5
annesville,Annesville,Eastern Cape,-31.057461,29.190419,5
annex kilvorskull,Annex Kilvorskull,Eastern Cape,-31.516667,25.933333,5
anniedale,Anniedale,Eastern Cape,-31.658694,25.792452,5
annyama,Annyama,Eastern Cape,-30.833333,28.5,5
